tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2019-12-18,58,35,28,140,17,140,O3,TIDAK SEHAT,DKI5
2019-12-19,64,37,30,96,14,96,O3,SEDANG,DKI4
2019-12-20,72,38,30,99,16,99,O3,SEDANG,DKI3
2019-12-21,72,37,35,109,15,109,O3,TIDAK SEHAT,DKI4
2019-12-22,53,36,24,94,13,94,O3,SEDANG,DKI5
2019-12-23,60,36,32,99,18,99,O3,SEDANG,DKI5
2019-12-24,68,37,34,105,11,105,O3,TIDAK SEHAT,DKI5
2019-12-25,58,37,26,73,9,73,O3,SEDANG,DKI5
2019-12-26,54,37,22,91,12,91,O3,SEDANG,DKI5
2019-12-27,55,38,26,84,11,84,O3,SEDANG,DKI4
2019-12-28,64,37,34,61,11,64,PM10,SEDANG,DKI2
2019-12-29,64,38,36,69,10,69,O3,SEDANG,DKI5
2019-12-30,77,37,55,89,9,89,O3,SEDANG,DKI2
2019-12-31,52,37,23,55,9,55,O3,SEDANG,DKI3
2020-01-01,38,36,25,46,9,46,O3,BAIK,DKI5
2020-01-02,45,36,39,102,8,102,O3,TIDAK SEHAT,DKI5
2020-01-03,51,37,27,63,10,63,O3,SEDANG,DKI5
2020-01-04,51,38,19,85,10,85,O3,SEDANG,DKI5
2020-01-05,52,39,25,62,9,62,O3,SEDANG,DKI5
2020-01-06,62,37,39,64,9,64,O3,SEDANG,DKI5
2020-01-07,50,38,39,66,11,66,O3,SEDANG,DKI5
2020-01-08,52,40,22,70,11,70,O3,SEDANG,DKI5
2020-01-09,82,38,58,71,13,82,PM10,SEDANG,DKI4
2020-01-10,44,37,27,47,9,47,O3,BAIK,DKI5
2020-01-11,44,38,25,80,9,80,O3,SEDANG,DKI5
2020-01-12,43,38,17,46,5,46,O3,BAIK,DKI5
2020-01-13,42,38,15,51,8,51,O3,SEDANG,DKI4
2020-01-14,40,32,17,48,9,48,O3,BAIK,DKI4
2020-01-15,44,29,16,63,9,63,O3,SEDANG,DKI3
2020-01-16,70,60,41,78,12,78,O3,SEDANG,DKI3
2020-01-17,86,34,40,125,20,125,O3,TIDAK SEHAT,DKI4
2020-01-18,59,30,25,75,7,75,O3,SEDANG,DKI4
2020-01-19,76,34,71,110,15,110,O3,TIDAK SEHAT,DKI3
2020-01-20,56,31,20,65,9,65,O3,SEDANG,DKI3
2020-01-21,62,36,41,50,15,62,PM10,SEDANG,DKI3
2020-01-22,82,36,43,64,15,82,PM10,SEDANG,DKI4
2020-01-23,60,32,29,59,18,60,PM10,SEDANG,DKI4
2020-01-24,71,30,31,44,13,71,PM10,SEDANG,DKI4
2020-01-25,40,29,34,80,12,80,O3,SEDANG,DKI5
2020-01-26,63,30,51,89,11,89,O3,SEDANG,DKI5
2020-01-27,48,30,29,83,13,83,O3,SEDANG,DKI2
2020-01-28,72,31,39,74,17,74,O3,SEDANG,DKI3
2020-01-29,70,30,42,92,19,92,O3,SEDANG,DKI4
2020-01-30,38,30,21,80,20,80,O3,SEDANG,DKI4
2020-01-31,56,30,27,54,16,56,PM10,SEDANG,DKI4
2020-02-01,57,30,39,73,14,73,O3,SEDANG,DKI5
2020-02-02,52,30,35,64,12,64,O3,SEDANG,DKI5
2020-02-03,59,30,50,46,15,59,PM10,SEDANG,DKI4
2020-02-04,43,30,53,51,14,53,CO,SEDANG,DKI3
2020-02-05,67,30,57,52,12,67,PM10,SEDANG,DKI3
2020-02-06,63,30,26,50,18,63,PM10,SEDANG,DKI2
2020-02-07,55,28,28,50,16,55,PM10,SEDANG,DKI5
2020-02-08,74,30,24,67,12,74,PM10,SEDANG,DKI4
2020-02-09,48,30,35,50,12,50,O3,BAIK,DKI5
2020-02-10,51,31,27,91,15,91,O3,SEDANG,DKI2
2020-02-11,75,32,26,98,16,98,O3,SEDANG,DKI4
